exercise_id,exercise_name,muscle_group,inferred_pattern,risk_reason,suggested_contraindications,suggested_pain_limitation_tags,suggested_regressions,suggested_equivalent_substitutes,suggested_progressions,suggested_equipment,reviewer_status,reviewer_notes
"a863ae76-f3e6-42c0-9757-26e7e1a111a7","Desenvolvimento Sentado Smith","ombro","empurrar_vertical","Overhead press guiado (Smith) — risco ombro/cervical","acute_shoulder_pain; painful_overhead_press; shoulder_impingement; overhead_limitation","shoulder_pain; shoulder_impingement; overhead_limitation; cervical_pain","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina","Progredir reps antes de carga; carga só sem dor e técnica limpa","machine","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"e54dd5b2-99cf-4648-9885-6cd19d03f9d9","Desenvolvimento Unilateral Landmine","ombro","empurrar_vertical","Overhead em ângulo (landmine) — risco menor, ainda ombro","acute_shoulder_pain; painful_overhead_press; overhead_limitation","shoulder_pain; overhead_limitation","Elevação Lateral Halteres; Face Pull Corda; Manguito Externo","Desenvolvimento Máquina; Desenvolvimento Neutro Máquina","Progredir reps antes de carga; carga só sem dor","barbell","needs_review","Landmine costuma ser regressão do overhead livre — validar como alternativa segura"
"b1683ec5-c903-4406-a33d-0a03606ac7f5","Agachamento com Desenvolvimento Halteres","quadríceps","joelho_dominante; empurrar_vertical","Combo agachamento + desenvolvimento overhead — risco joelho e ombro","acute_shoulder_pain; painful_overhead_press; deep_loaded_knee_flexion","shoulder_pain; knee_pain; overhead_limitation","Desenvolvimento Máquina; Elevação Lateral Halteres","Desenvolvimento Máquina; Agachamento Sumô Landmine","Separar os movimentos; progredir reps antes de carga sem dor","dumbbells","needs_review","Exercício combo — considerar separar agacho e press; validar tags de joelho e ombro"
"c8dfd65e-2b07-405f-a506-311c0995241c","Encolhimento Overhead Barra","trapézio","isolado_acessorio","Encolhimento acima da cabeça — carga overhead, risco ombro/cervical","acute_shoulder_pain; painful_overhead_press; overhead_limitation; cervical_pain","shoulder_pain; cervical_pain; overhead_limitation","Encolhimento Halter; Face Pull Corda; Manguito Externo","Encolhimento Halter; Encolhimento Smith","Progredir reps antes de carga; carga só sem dor","barbell","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"c7e285f9-ef03-4c45-81ee-635ae58b236f","Encolhimento Overhead Smith","trapézio","isolado_acessorio","Encolhimento acima da cabeça (Smith) — carga overhead, risco ombro/cervical","acute_shoulder_pain; painful_overhead_press; overhead_limitation; cervical_pain","shoulder_pain; cervical_pain; overhead_limitation","Encolhimento Halter; Face Pull Corda; Manguito Externo","Encolhimento Smith; Encolhimento Halter","Progredir reps antes de carga; carga só sem dor","machine","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"2345fdf0-2bb7-49c0-839d-1d1bfd3024f8","Levantamento Terra","posterior de coxa","quadril_dominante","Terra carregado — carga axial/flexão espinhal, risco lombar","acute_low_back_pain; loaded_spinal_flexion; butt_wink; trunk_lean","low_back_pain; butt_wink; trunk_lean; hip_pain","RDL Halteres; Elevação Pélvica Barra; Extensão de Quadril Banco Romano; Perdigueiro Alternado","RDL Barra; RDL Halteres; Elevação Pélvica Barra","Progredir reps antes de carga; manter coluna neutra e dor <= 3","barbell","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"45912e02-399e-4442-8b13-365e834fab4b","Levantamento Terra Sumô","posterior de coxa","quadril_dominante","Terra sumô carregado — carga axial, risco lombar","acute_low_back_pain; loaded_spinal_flexion; butt_wink; trunk_lean","low_back_pain; butt_wink; trunk_lean; hip_pain","RDL Halteres; Elevação Pélvica Barra; Extensão de Quadril Banco Romano; Perdigueiro Alternado","RDL Barra; Elevação Pélvica Barra; Stiff Halteres","Progredir reps antes de carga; manter coluna neutra e dor <= 3","barbell","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"cb160be6-90a5-4365-b77c-0ae473917009","Levantamento Terra Sumô Belt Squat","posterior de coxa","quadril_dominante","Terra sumô em belt squat — carga, risco lombar/quadril","acute_low_back_pain; loaded_spinal_flexion; butt_wink; trunk_lean","low_back_pain; butt_wink; trunk_lean; hip_pain","RDL Halteres; Elevação Pélvica Máquina; Extensão de Quadril Banco Romano","RDL Belt Squat; Elevação Pélvica Máquina; Stiff Belt Squat","Progredir reps antes de carga; manter coluna neutra e dor <= 3","machine","needs_review","Belt squat reduz carga axial — validar como possível regressão"
"dc0ad1e1-6d1b-4cec-8e29-1c9ce486097f","Levantamento Terra Sumô com Halter","posterior de coxa","quadril_dominante","Terra sumô com halter — flexão de quadril carregada, risco lombar","acute_low_back_pain; loaded_spinal_flexion; butt_wink; trunk_lean","low_back_pain; butt_wink; trunk_lean; hip_pain","RDL Halteres; Elevação Pélvica Barra; Perdigueiro Alternado","RDL Halteres; Elevação Pélvica Barra; Stiff Halteres","Progredir reps antes de carga; manter coluna neutra e dor <= 3","dumbbells","needs_review","Sugestão automática (ORDEM 024) — não aplicada; validar com professor/curador"
"fa532cec-fd1b-440e-b42e-6d2c0f6ae3fb","Levantamento Terra Sumô Landmine","posterior de coxa","quadril_dominante","Terra sumô landmine — carga em ângulo, risco lombar","acute_low_back_pain; loaded_spinal_flexion; butt_wink; trunk_lean","low_back_pain; butt_wink; trunk_lean; hip_pain","RDL Halteres; Elevação Pélvica Barra; Extensão de Quadril Banco Romano","RDL Barra; Elevação Pélvica Barra; Stiff Halteres","Progredir reps antes de carga; manter coluna neutra e dor <= 3","barbell","needs_review","Landmine pode reduzir carga axial — validar como alternativa"
